                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.99631,                0.54746,                0.93911,                 1.1471,                0.55141,                0.94029,                0.99457,                0.89908,                0.94178,                0.66672,                 1.0012,                0.53599,                0.94154,                 1.1791,                0.50078,                0.96487,              0.0067825,              0.0067825,              0.0067825
                     68,                0.98331,                0.53944,                0.92892,                 1.1498,                0.56404,                0.93422,                0.96279,                0.89908,                0.94032,                0.68256,                0.98439,                0.54413,                 0.9338,                 1.1083,                0.53288,                 0.9429,               0.006733,               0.006733,               0.006733
                     69,                0.97748,                0.54158,                0.92505,                 1.1526,                0.53651,                0.93546,                0.98068,                0.93134,                0.93815,                0.70186,                0.86766,                0.49667,                0.92285,                0.96408,                0.48273,                0.93662,              0.0066835,              0.0066835,              0.0066835
                     70,                0.98854,                0.56084,                0.93485,                 1.1414,                0.56228,                0.93871,                0.99882,                0.91743,                0.94778,                0.68569,                0.96533,                0.51674,                0.93831,                 1.1028,                0.42129,                0.94864,               0.006634,               0.006634,               0.006634
                     71,                0.98587,                0.54932,                0.92712,                  1.137,                0.54396,                0.93152,                0.98092,                0.94333,                0.95014,                 0.7122,                0.89967,                0.53346,                0.92174,                0.99908,                0.43508,                0.93811,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0002,                0.55634,                0.93533,                 1.1304,                0.50871,                0.92833,                0.89156,                0.90518,                0.92996,                 0.7055,                0.85306,                0.53783,                0.91208,                0.93133,                0.45288,                0.92142,               0.006535,               0.006535,               0.006535
                     73,                0.98717,                0.54811,                0.93195,                 1.1433,                0.54535,                0.92741,                0.94205,                0.91743,                0.93706,                0.68571,                0.98731,                0.53004,                0.94652,                 1.0347,                0.44435,                0.93221,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0214,                0.56074,                 0.9349,                 1.1774,                0.50814,                0.93349,                0.96006,                0.92661,                0.94696,                0.71132,                0.91805,                0.51983,                0.92385,                0.97995,                0.44325,                0.92241,               0.006436,               0.006436,               0.006436
                     75,                0.97108,                0.54792,                0.92986,                 1.1557,                0.54551,                0.94571,                0.92606,                0.91926,                0.94437,                0.69175,                0.95811,                 0.5846,                0.93644,                 1.0462,                0.60573,                0.94851,              0.0063865,              0.0063865,              0.0063865
                     76,                0.98367,                0.56303,                0.93059,                 1.1593,                0.56188,                0.93529,                 0.9513,                0.94495,                0.94659,                0.72563,                0.88568,                 0.4606,                0.91338,                0.94177,                0.41856,                0.91584,               0.006337,               0.006337,               0.006337
                     77,                0.94716,                0.52768,                0.91617,                 1.1018,                0.50456,                0.92251,                0.97388,                0.91743,                0.94922,                0.71339,                0.93588,                0.50277,                0.92774,                0.98528,                0.44588,                0.94762,              0.0062875,              0.0062875,              0.0062875
                     78,                0.96482,                 0.5221,                0.94391,                  1.112,                0.51084,                0.94725,                0.99837,                0.92661,                 0.9429,                0.72552,                0.86552,                 0.5439,                0.91893,                0.93343,                 0.6044,                0.92904,               0.006238,               0.006238,               0.006238
                     79,                 1.0149,                0.53312,                0.92431,                 1.1724,                0.50968,                0.92932,                0.99026,                0.93318,                0.94844,                0.69565,                0.91399,                0.49015,                 0.9295,                 1.0225,                0.37621,                0.93528,              0.0061885,              0.0061885,              0.0061885
                     80,                 0.9919,                0.53129,                 0.9253,                 1.1692,                0.49071,                0.93151,                0.99641,                0.90826,                0.95138,                0.68291,                 1.0183,                0.52755,                0.94048,                 1.1383,                0.42963,                0.94558,               0.006139,               0.006139,               0.006139
                     81,                0.97292,                0.52751,                 0.9167,                 1.0983,                0.47931,                0.92353,                0.95282,                0.92648,                 0.9508,                0.71341,                0.88243,                0.50147,                0.91923,                 0.9867,                 0.5114,                0.91997,              0.0060895,              0.0060895,              0.0060895
                     82,                0.94774,                0.52046,                0.91578,                 1.0984,                0.50986,                0.92245,                      1,                0.93441,                0.94749,                0.74159,                0.88584,                0.48772,                0.90864,                0.93005,                0.36644,                0.90329,                0.00604,                0.00604,                0.00604
                     83,                0.96753,                0.53716,                0.92643,                 1.1145,                0.55027,                0.92514,                0.99689,                0.93578,                0.95304,                0.70862,                0.97264,                0.48417,                0.93544,                 1.0766,                0.41487,                0.94031,              0.0059905,              0.0059905,              0.0059905
                     84,                 0.9631,                0.51473,                0.92674,                 1.0795,                0.49028,                0.92562,                0.97779,                0.92661,                0.94511,                0.70304,                0.86732,                0.46693,                0.92018,                  1.018,                0.43639,                 0.9316,               0.005941,               0.005941,               0.005941
                     85,                0.97691,                0.54097,                0.91553,                 1.1456,                0.52357,                0.91594,                 0.9902,                0.94495,                0.94749,                0.72042,                0.90021,                0.47482,                0.92781,                 1.0001,                0.44822,                0.94119,              0.0058915,              0.0058915,              0.0058915
                     86,                0.96447,                0.52942,                0.91717,                 1.1063,                0.52244,                0.92215,                0.94263,                0.89908,                0.93448,                0.71143,                0.86191,                0.48735,                0.91473,                 0.9349,                0.46341,                0.92601,               0.005842,               0.005842,               0.005842
                     87,                0.95937,                 0.5286,                0.90857,                 1.1186,                0.51886,                0.90996,                0.99027,                0.93408,                0.95334,                 0.7172,                0.89115,                0.45572,                0.91904,                0.97359,                0.36458,                0.92747,              0.0057925,              0.0057925,              0.0057925
                     88,                0.98097,                0.50871,                0.92932,                 1.1296,                0.47812,                0.92499,                0.00019,                0.05505,                 0.0001,                  7e-05,                 0.8316,                0.44577,                0.91018,                0.93139,                 1487.5,                0.92237,               0.005743,               0.005743,               0.005743
                     89,                0.93828,                0.49863,                0.91942,                 1.1024,                 0.4959,                0.92033,                 0.9711,                 0.9249,                0.94323,                0.70486,                0.89207,                0.50566,                0.93489,                0.96991,                0.47318,                0.95248,              0.0056935,              0.0056935,              0.0056935
                     90,                0.95249,                0.50048,                0.92693,                 1.0896,                0.46109,                0.92127,                0.98586,                0.93578,                0.94607,                0.71687,                0.95238,                0.47028,                0.93373,                 1.0177,                0.35368,                0.93752,               0.005644,               0.005644,               0.005644
                     91,                0.95897,                0.51652,                0.91912,                 1.1275,                0.49842,                0.92263,                      1,                0.92944,                0.95225,                 0.6888,                0.90767,                0.48115,                0.92092,                 1.0738,                0.37289,                0.94492,              0.0055945,              0.0055945,              0.0055945
                     92,                0.94931,                0.51352,                0.92557,                 1.1018,                0.46567,                0.92503,                0.98859,                0.92661,                0.95134,                0.71904,                0.90261,                0.50993,                0.91931,                0.99692,                0.53673,                0.92448,               0.005545,               0.005545,               0.005545
                     93,                0.95398,                0.52665,                0.92323,                 1.1005,                0.50213,                0.92336,                0.99002,                0.92661,                0.95202,                0.70715,                0.89154,                0.45414,                0.91365,                 1.0417,                0.37397,                0.92494,              0.0054955,              0.0054955,              0.0054955
                     94,                0.97371,                0.53108,                0.92665,                 1.1003,                0.47277,                0.92448,                0.98888,                0.90826,                0.94097,                0.70688,                0.89688,                0.50423,                0.94079,                 0.9642,                0.47515,                0.94145,               0.005446,               0.005446,               0.005446
                     95,                0.95349,                 0.5234,                0.92531,                  1.082,                0.46518,                0.91987,                0.98095,                 0.9449,                0.94649,                0.71148,                0.87043,                0.48248,                0.92587,                0.98771,                0.40994,                0.93642,              0.0053965,              0.0053965,              0.0053965
                     96,                0.92355,                0.49883,                0.91226,                 1.0765,                0.46096,                  0.916,                0.99027,                0.93418,                 0.9417,                0.70806,                0.90786,                0.46748,                0.91073,                0.99458,                0.45684,                 0.9227,               0.005347,               0.005347,               0.005347
                     97,                0.95279,                0.52204,                0.91903,                  1.089,                0.49049,                0.92094,                0.97169,                0.94482,                0.95226,                0.71315,                0.93043,                0.47655,                0.91743,                0.98383,                0.41708,                0.91569,              0.0052975,              0.0052975,              0.0052975
                     98,                0.92988,                0.50255,                0.91806,                 1.0992,                0.47453,                0.92343,                0.97934,                0.92661,                0.94866,                0.72608,                 0.8638,                0.46284,                 0.9208,                0.97016,                0.36974,                0.92163,               0.005248,               0.005248,               0.005248
                     99,                0.91882,                0.50173,                0.90577,                 1.0721,                0.48715,                0.91433,                0.99666,                0.90826,                0.94933,                0.71146,                0.90483,                0.44851,                0.92651,                0.97955,                 0.3914,                0.93161,              0.0051985,              0.0051985,              0.0051985
                    100,                0.93077,                0.51414,                0.90033,                 1.1025,                0.49966,                0.91027,                0.99016,                 0.9233,                0.94413,                0.70784,                 0.8553,                0.47775,                0.92329,                0.98776,                0.40231,                0.93317,               0.005149,               0.005149,               0.005149
                    101,                0.91158,                0.48863,                0.91366,                 1.0355,                0.47342,                0.90976,                0.98605,                0.92661,                0.94288,                0.73102,                0.86038,                0.49198,                0.91648,                0.96387,                0.45169,                0.92611,              0.0050995,              0.0050995,              0.0050995
                    102,                0.92145,                0.48333,                0.90636,                 1.0568,                0.43373,                0.91163,                0.98755,                0.92661,                0.94405,                0.71003,                 0.8858,                0.49746,                0.91749,                0.97185,                0.46658,                0.92228,                0.00505,                0.00505,                0.00505
                    103,                0.93241,                0.49156,                0.92589,                 1.0762,                 0.4796,                0.92682,                0.94145,                0.94495,                0.94255,                0.69339,                0.89223,                0.47957,                0.91446,                 1.0421,                 0.4368,                0.93143,              0.0050005,              0.0050005,              0.0050005
                    104,                0.90837,                0.48028,                0.90616,                 1.0398,                 0.4631,                0.90421,                0.97952,                0.93578,                0.95219,                0.72672,                0.85668,                0.44091,                0.91802,                0.93771,                0.47987,                0.91418,               0.004951,               0.004951,               0.004951
